tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
180,120,260,125,80,110,300,620,0.913903502512056,1.0063530326131773,30,1,0,none,long,-3.083756345177665,394,-1215.0,0.49238578680203043,0.9673606447280054,185.61855670103094,-189.9234693877551,9169.0
180,90,145,80,75,180,170,570,0.9616169280045033,0.9490269925816053,28,1,1,none,long,-3.093480934809348,813,-2515.0,0.5227552275522755,0.9727110956793472,210.93411764705883,-238.76165803108807,14769.0
120,90,50,230,40,40,420,500,0.906667910667821,0.927022260213833,26,1,1,none,long,-3.0934959349593494,738,-2283.0,0.48509485094850946,0.9207071408724645,74.04748603351955,-77.60646900269542,3789.0
240,90,195,275,70,110,250,440,0.9281635082401987,0.9869940131773763,5,1,1,none,long,-3.097142857142857,700,-2168.0,0.5171428571428571,0.9633021311170168,157.207182320442,-174.78402366863907,9337.0
300,120,225,175,75,145,350,460,0.9062562115243318,1.002623228728945,12,1,1,none,long,-3.0972222222222223,504,-1561.0,0.4880952380952381,0.9539120165338058,131.33739837398375,-132.8235294117647,9837.0
180,90,115,185,100,85,140,290,1.005613091249679,0.9644374294185686,8,1,0,none,long,-3.102787456445993,574,-1781.0,0.5034843205574913,0.9584742008440392,142.24221453287197,-152.0886524822695,6694.0
120,90,45,265,40,45,230,310,0.9192971058305951,0.9645079254409775,8,1,0,none,long,-3.1077111383108935,817,-2539.0,0.5055079559363526,0.9434042173777362,102.47699757869249,-112.71859296482413,8826.0
180,45,135,35,65,100,480,590,0.9245762401231558,0.97081087039825,27,1,1,none,long,-3.122238586156112,679,-2120.0,0.49042709867452133,0.9206764947990721,73.89189189189189,-79.07100591715977,3815.0
150,45,80,285,65,30,330,450,0.9038306408174255,0.9049400283419767,7,1,0,none,long,-3.1314837153196624,829,-2596.0,0.5066344993968637,0.9469543717689368,110.3404761904762,-120.53940886699507,10122.0
240,120,295,135,80,135,200,660,0.9813256930558796,1.01529379365774,10,1,0,none,long,-3.1319018404907975,326,-1021.0,0.5030674846625767,0.9786164575784866,284.9146341463415,-294.7345679012346,8601.0
150,60,135,245,75,135,140,220,0.9110676839992958,0.9719545853327121,7,1,1,none,long,-3.172027972027972,715,-2268.0,0.5188811188811189,0.9241522306200254,74.48517520215633,-88.46745562130178,5589.0
120,90,115,220,85,20,290,420,1.0129951215454172,0.9286065129702075,17,1,1,none,long,-3.1827676240208875,383,-1219.0,0.5326370757180157,0.9593422720298846,140.9950980392157,-168.43820224719101,7992.0
210,90,265,30,30,140,440,520,0.9033581170800593,1.011851014844417,9,1,0,none,long,-3.189710610932476,311,-992.0,0.5080385852090032,0.9377666248431619,94.60759493670886,-106.26666666666667,2546.0
210,120,90,225,60,25,80,240,1.0032872484678284,0.9814829245828021,27,1,0,none,long,-3.1908127208480566,566,-1806.0,0.5070671378091873,0.9452013229359468,108.54006968641114,-119.40942028985508,5891.0
180,60,260,250,30,70,150,230,0.9353296580513619,0.9401544268561722,18,1,0,none,long,-3.2040133779264215,598,-1916.0,0.5267558528428093,0.9268255423159181,77.04126984126984,-93.51428571428572,5537.0
180,45,145,145,35,160,350,450,0.9263356489122283,0.9507364036785784,29,1,1,none,long,-3.214175654853621,649,-2086.0,0.49614791987673346,0.944392610561672,110.02173913043478,-114.71865443425077,7733.0
150,120,250,220,15,110,440,640,0.9598270684937424,0.9933230077334587,18,1,0,none,long,-3.221415607985481,551,-1775.0,0.4882032667876588,0.9489473078693051,122.65055762081785,-124.61648745519713,4614.0
300,90,265,200,80,165,420,570,0.9107728937351716,0.9605961387012331,11,1,0,none,long,-3.230769230769231,676,-2184.0,0.47485207100591714,0.9422099915325995,110.92834890965732,-107.36363636363636,6717.0
210,90,260,180,75,100,410,540,0.9381069662374288,0.9802516589124249,27,1,1,none,long,-3.2689335394126737,647,-2115.0,0.4884080370942813,0.9237040510804083,81.03164556962025,-85.29538461538462,4319.0
300,120,70,220,55,125,260,570,0.9264677919949232,0.9042498139276604,7,1,0,none,long,-3.290548424737456,857,-2820.0,0.4982497082847141,0.9588609441559199,153.92974238875877,-161.66981132075472,13873.0
180,90,80,120,65,85,230,380,0.9674675134448425,0.9782889671977167,25,1,1,none,long,-3.3179611650485437,824,-2734.0,0.5036407766990292,0.9608797058108088,161.8144578313253,-171.7125307125307,10845.0
240,45,175,95,75,55,400,600,1.0000859738407755,0.9338671585439852,18,1,0,none,long,-3.3363636363636364,550,-1835.0,0.49454545454545457,0.9510353292774042,131.03308823529412,-135.29241877256317,10561.0
300,90,150,135,65,15,410,630,1.0076933350487467,0.9473878435963701,19,1,1,none,long,-3.348314606741573,356,-1192.0,0.4747191011235955,0.9410717816887483,112.63905325443787,-110.53551912568307,4241.0
240,120,195,50,50,40,480,660,0.997942089945367,0.9667816807824821,9,1,1,none,long,-3.3549848942598186,662,-2221.0,0.4879154078549849,0.9440173417689612,115.95046439628483,-119.13813813813813,6630.0
180,45,25,205,10,170,360,430,0.9789119773404324,0.9845186657068279,8,1,1,none,long,-3.3852691218130313,706,-2390.0,0.48158640226628896,0.9365677583735867,103.78823529411764,-103.7961432506887,5141.0
180,120,110,155,60,50,70,400,0.9513077015263807,0.9724720993217143,26,1,0,none,long,-3.388535031847134,785,-2660.0,0.5044585987261146,0.969451972989113,213.17171717171718,-224.42268041237114,16615.0
240,60,270,190,20,190,330,400,0.9355718259978781,0.9374354542613017,11,1,1,none,long,-3.4025500910746813,549,-1868.0,0.4990892531876138,0.9354147218476645,98.74087591240875,-105.94505494505495,5701.0
210,90,100,65,80,25,150,320,0.9186905910224418,0.9319760254864752,15,1,0,none,long,-3.408759124087591,822,-2802.0,0.5158150851581509,0.953117941338866,134.35141509433961,-151.69289340101523,8938.0
150,90,75,150,90,30,380,680,0.97921044171554,0.985493312063757,25,1,0,none,long,-3.5,880,-3080.0,0.47954545454545455,0.9440955457944604,123.25592417061611,-123.52914798206278,8889.0
120,90,120,40,70,130,440,510,0.9704858148485278,0.9246409347219464,26,1,0,none,long,-3.5037147102526003,673,-2358.0,0.4933135215453195,0.9122441384443617,73.83132530120481,-80.2089552238806,3682.0
240,120,95,55,75,75,200,310,0.9974998597260042,0.9402939960723413,20,1,0,none,long,-3.511380880121396,659,-2314.0,0.4946889226100152,0.9485274490613044,130.80368098159508,-136.64437689969606,5039.0
210,90,80,260,75,95,340,490,0.9427201315165097,0.982560951809863,5,1,1,none,long,-3.5487238979118327,862,-3059.0,0.4988399071925754,0.9544303420331307,148.99767441860465,-156.84112149532712,12271.0
300,120,195,175,95,55,130,360,0.9116855347846768,0.9774822849390278,11,1,1,none,long,-3.6042780748663104,748,-2696.0,0.5227272727272727,0.9486074839398387,127.27109974424552,-148.60906515580737,8453.0
180,120,55,65,85,20,280,510,0.9560075591117496,0.9180964833471752,8,1,1,none,long,-3.614102564102564,780,-2819.0,0.4987179487179487,0.9533864673589523,148.2185089974293,-157.08051948051948,13300.0
300,90,225,210,90,170,380,610,0.9425830653465184,0.9229203194587379,14,1,1,none,long,-3.6147426981919333,719,-2599.0,0.48400556328233657,0.9346968516796904,106.89655172413794,-108.4441416893733,6286.0
300,90,120,130,80,105,440,600,0.9853133857307426,0.9686472887907606,22,1,0,none,long,-3.6161073825503354,745,-2694.0,0.4791946308724832,0.9322724187344446,103.87394957983193,-103.5859375,7004.0
210,120,210,290,30,130,490,560,1.0114963752715647,0.994048466764407,26,1,1,none,long,-3.644230769230769,312,-1137.0,0.49038461538461536,0.9144469525959368,79.43137254901961,-85.1923076923077,3202.0
210,120,155,160,70,35,450,630,1.008917790679917,0.9525799192261705,30,1,0,none,long,-3.6649484536082473,388,-1422.0,0.48195876288659795,0.9332864180154821,106.37967914438502,-107.65151515151516,5349.0
180,90,90,105,65,170,350,670,0.9371058697925693,0.9954782603203415,23,1,1,none,long,-3.66626936829559,839,-3076.0,0.48510131108462456,0.9607903123008286,185.1941031941032,-184.1549295774648,16166.0
150,90,105,185,95,25,380,590,0.9877340767649,0.9591541237420838,7,1,0,none,long,-3.6778290993071594,866,-3185.0,0.49653579676674364,0.9323779193205944,102.12790697674419,-109.28074245939675,7819.0
240,120,80,210,85,105,80,480,0.9597931914650776,0.9582463057520537,15,1,1,none,long,-3.697604790419162,1002,-3705.0,0.5169660678642715,0.9664134455000363,205.8050193050193,-229.33887733887735,16996.0
240,120,150,225,55,100,110,350,0.9118895964212039,0.9102760498185354,18,1,1,none,long,-3.7030812324929974,714,-2644.0,0.5224089635854342,0.9585846086370827,164.0670241286863,-188.32153392330383,9892.0
180,45,185,170,25,15,490,650,1.0017699711243155,0.9787216971534419,7,1,0,none,long,-3.7083333333333335,432,-1602.0,0.47453703703703703,0.9229992790194664,93.67317073170732,-94.14027149321267,4112.0
180,120,70,240,55,140,370,650,1.0070336736214889,0.9976659504598857,16,1,0,none,long,-3.7119856887298748,559,-2075.0,0.49552772808586765,0.9470595739252455,134.0072202166065,-140.9892086330935,7167.0
150,45,75,35,80,180,470,580,0.9363229517849686,0.941332636468292,10,1,1,none,long,-3.7403958090803258,859,-3213.0,0.47846332945285214,0.9109009733507113,79.92214111922141,-82.3310502283105,6289.0
180,120,40,220,45,165,170,660,0.9401060554748844,1.0159162321064006,19,1,0,none,long,-3.74375,480,-1797.0,0.48541666666666666,0.9721917023877686,269.6309012875536,-264.84016393442624,9634.0
150,90,75,205,30,160,380,690,0.9007854908570151,0.9282717067163052,11,1,1,none,long,-3.756497948016416,731,-2746.0,0.47606019151846785,0.9452988047808765,136.36206896551724,-134.22459893048128,5433.0
240,120,155,150,75,85,250,430,0.9241156280444838,0.9519881845542878,10,1,0,none,long,-3.771784232365145,723,-2727.0,0.5006915629322268,0.945631803500937,131.02486187845304,-140.49859943977592,11980.0
150,90,85,245,70,55,440,540,0.9086719714932038,0.9356711628559966,5,1,0,none,long,-3.777624309392265,724,-2735.0,0.47790055248618785,0.9084947639599853,78.47976878612717,-80.78108108108108,3460.0
