tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
180,90,70,245,45,25,160,280,0.967594611545169,0.9397863233635606,8,1,1,-17.66509433962264,1060,-18725.0,0.48867924528301887,0.9564519692547414,793.9382239382239,-806.7260787992495
210,45,240,105,80,55,220,690,0.9560507993593532,0.9949990451362213,8,0,1,-17.669811320754718,530,-9365.0,0.3150943396226415,0.9787716335528329,2585.568862275449,-1215.3030303030303
210,45,165,290,15,35,320,630,0.9909359757018568,0.9317951465318346,29,0,0,-17.682563338301044,671,-11865.0,0.37555886736214605,0.9777321096785091,2067.3214285714284,-1271.6706443914081
120,60,65,215,75,20,160,290,0.9656887696867913,0.9737313344426766,13,1,1,-17.883817427385893,1205,-21550.0,0.4946058091286307,0.9406041563309631,572.6006711409397,-606.7224080267558
210,60,270,220,95,85,340,410,1.0297341265138913,0.9416753519491889,20,1,1,-17.891304347826086,460,-8230.0,0.4826086956521739,0.9507156117132762,715.1351351351351,-701.6386554621848
180,45,95,220,55,145,210,280,1.0087454922715204,0.9573679043472864,27,1,0,-17.961104140526977,797,-14315.0,0.49560853199498117,0.9323199848706917,499.2278481012658,-536.8274111675127
150,45,30,235,20,75,400,520,1.0020466378377655,0.9504056900095008,11,0,1,-18.0,385,-6930.0,0.38961038961038963,0.9838979506482644,2823.0,-1839.2307692307693
150,120,165,295,5,120,60,300,1.0062375371581513,0.9624476263082785,24,1,1,-18.119834710743802,726,-13155.0,0.49449035812672176,0.9598529007843257,876.0863509749304,-897.7260273972603
150,45,185,30,40,160,460,640,0.944360152615344,0.9318975487518137,7,0,0,-18.147590361445783,332,-6025.0,0.3644578313253012,0.9841713955443464,3095.99173553719,-1812.5714285714287
180,60,155,25,70,50,130,280,0.9405390062166649,0.9073310790336474,23,1,0,-18.193359375,1024,-18630.0,0.5078125,0.9385260101301743,546.9711538461538,-606.11
180,120,105,215,80,50,110,260,0.9268040580072515,0.913340190044702,10,1,1,-18.259162303664922,1146,-20925.0,0.48778359511343805,0.9612801154657489,929.3291592128802,-928.5567010309278
240,60,140,265,70,180,150,290,1.0301466489015394,0.9706267195209798,13,1,0,-18.39887640449438,534,-9825.0,0.5112359550561798,0.9441475754647263,608.3699633699633,-679.1891891891892
120,90,85,25,35,165,470,560,1.0004246818819302,0.9348646108776382,11,1,0,-18.57883817427386,482,-8955.0,0.48132780082987553,0.8861845449923742,300.53879310344826,-321.14285714285717
150,45,245,140,60,170,70,170,1.0049578155148828,0.9376755948361188,15,1,0,-18.623789764868604,723,-13465.0,0.48686030428769017,0.9243836693435166,467.62784090909093,-483.8858695652174
150,45,240,160,70,195,150,290,0.9287769224585541,0.9056379398339703,12,1,1,-18.651685393258425,979,-18260.0,0.501532175689479,0.9375566384543045,558.3808553971487,-607.952182952183
210,90,160,285,10,85,60,200,1.0419254371759106,0.9426410900886733,11,1,1,-18.670212765957448,376,-7020.0,0.5026595744680851,0.947917053084542,676.005291005291,-724.6505376344086
150,90,220,205,5,175,450,680,0.9818426991643829,0.9357208214603195,28,0,1,-18.75,428,-8025.0,0.3411214953271028,0.9793889894826059,2611.849315068493,-1380.6914893617022
300,60,30,225,60,120,220,370,1.0024163503368217,0.9360346997633925,18,1,1,-18.99524375743163,841,-15975.0,0.5101070154577884,0.9559674751929438,808.4498834498835,-882.7250608272506
240,120,25,65,40,145,220,300,0.9080909597417899,0.9642974211260964,5,1,0,-19.04360753221011,1009,-19215.0,0.49554013875123887,0.9491868306227688,717.87,-747.3320158102766
150,90,70,205,95,95,130,230,0.9924635312043851,0.9004625387439646,23,1,1,-19.053030303030305,1056,-20120.0,0.4981060606060606,0.9284711235935084,496.5114068441065,-539.8944337811901
120,90,280,230,25,170,170,360,0.9496356606242222,1.0297183284737164,22,1,0,-19.15506958250497,503,-9635.0,0.48111332007952284,0.958238519385389,913.5537190082645,-890.7915057915058
