tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
210,120,70,85,10,100,140,560,0.9656868739811051,0.9022041083285416,13,0,0,short,351.43617021276594,376,132140.0,0.38563829787234044,1.3710703303800846,3367.206896551724,-1548.2826086956522
240,45,150,65,90,95,260,520,0.9652008402728119,1.0045522929017259,23,0,1,short,351.21387283236993,346,121520.0,0.34971098265895956,1.4025040575005796,3499.4214876033056,-1341.8222222222223
150,60,60,85,20,55,350,430,0.9127428584519074,0.9778140732123778,9,0,0,short,351.0300925925926,432,151645.0,0.42824074074074076,1.3471050734174896,3181.2432432432433,-1768.7651821862348
150,90,70,150,10,195,320,530,0.9753485346377093,0.9732339075840399,28,0,1,short,350.91715976331363,338,118610.0,0.3727810650887574,1.298378677534181,4096.230158730159,-1892.9285714285713
180,60,120,210,90,160,90,540,0.9202077133772862,0.9907833083680221,7,0,1,short,350.72046109510086,347,121700.0,0.29971181556195964,1.3438970286957628,4572.932692307692,-1462.3347107438017
210,45,180,160,70,165,190,480,0.9993114091937726,0.9460099925084693,6,0,0,short,350.619335347432,331,116055.0,0.36555891238670696,1.3358753219691488,3814.7520661157023,-1653.2535885167465
120,60,190,150,60,20,120,650,1.0020337779917108,0.9939977162513903,19,0,0,short,349.1253263707572,383,133715.0,0.38642297650130547,1.589780345800988,2435.3716216216217,-964.7659574468086
180,120,55,240,40,110,100,560,0.9419668170882651,0.9793602645562628,12,0,0,short,348.9751552795031,322,112370.0,0.2950310559006211,1.298761033712645,5142.0,-1664.2477876106195
180,60,145,285,30,105,70,320,0.9635074953425394,0.963027832135585,25,0,0,short,347.83475783475785,351,122090.0,0.3504273504273504,1.3475377170509537,3848.6991869918697,-1547.5770925110132
120,45,70,160,40,30,200,560,0.9272795519367563,0.9325140579445959,10,0,1,short,347.45535714285717,560,194575.0,0.41964285714285715,1.5122214470930462,2444.425531914894,-1168.8153846153846
