iter	Passed	Remaining
1487	3434	1181
1488	3436	1179
1489	3438	1176
1490	3439	1174
1491	3441	1171
1492	3443	1169
1493	3445	1166
1494	3447	1164
1495	3450	1162
1496	3453	1160
1497	3455	1158
1498	3457	1155
1499	3459	1153
1500	3461	1150
1501	3463	1148
1502	3465	1146
1503	3467	1143
1504	3469	1141
1505	3471	1138
1506	3473	1136
1507	3475	1133
1508	3476	1131
1509	3478	1128
1510	3480	1126
1511	3483	1124
1512	3486	1122
1513	3488	1119
1514	3490	1117
1515	3492	1115
1516	3494	1112
1517	3496	1110
1518	3498	1107
1519	3500	1105
1520	3502	1102
1521	3504	1100
1522	3505	1098
1523	3507	1095
1524	3509	1093
1525	3512	1090
1526	3514	1088
1527	3516	1086
1528	3518	1083
1529	3520	1081
1530	3521	1078
1531	3523	1076
1532	3525	1074
1533	3528	1071
1534	3529	1069
1535	3531	1066
1536	3533	1064
1537	3535	1061
1538	3537	1059
1539	3539	1057
1540	3541	1054
1541	3543	1052
1542	3544	1049
1543	3546	1047
1544	3549	1045
1545	3550	1042
1546	3552	1040
1547	3554	1037
1548	3557	1035
1549	3559	1033
1550	3561	1030
1551	3562	1028
1552	3564	1026
1553	3566	1023
1554	3568	1021
1555	3570	1018
1556	3572	1016
1557	3574	1014
1558	3576	1011
1559	3578	1009
1560	3579	1006
1561	3581	1004
1562	3583	1001
1563	3585	999
1564	3587	997
1565	3589	994
1566	3591	992
1567	3592	989
1568	3594	987
1569	3596	984
1570	3598	982
1571	3600	980
1572	3602	977
1573	3603	975
1574	3605	972
1575	3607	970
1576	3609	968
1577	3610	965
1578	3612	963
1579	3614	960
1580	3616	958
1581	3618	956
1582	3620	953
1583	3622	951
1584	3624	948
1585	3625	946
1586	3627	944
1587	3629	941
1588	3631	939
1589	3633	936
1590	3635	934
1591	3637	932
1592	3638	929
1593	3640	927
1594	3642	925
1595	3644	922
1596	3646	920
1597	3648	917
1598	3650	915
1599	3652	913
1600	3654	910
1601	3656	908
1602	3657	905
1603	3659	903
1604	3661	901
1605	3663	898
1606	3665	896
1607	3667	894
1608	3669	891
1609	3671	889
1610	3673	886
1611	3675	884
1612	3677	882
1613	3679	879
1614	3681	877
1615	3683	875
1616	3685	872
1617	3687	870
1618	3688	868
1619	3690	865
1620	3692	863
1621	3694	861
1622	3696	858
1623	3698	856
1624	3700	853
1625	3702	851
1626	3704	849
1627	3706	846
1628	3708	844
1629	3710	842
1630	3712	839
1631	3713	837
1632	3715	835
1633	3717	832
1634	3719	830
1635	3721	827
1636	3723	825
1637	3725	823
1638	3727	820
1639	3729	818
1640	3730	816
1641	3732	813
1642	3734	811
1643	3736	809
1644	3738	806
1645	3740	804
